OutletId,Name,State,City,WebsiteUrl,TwitterHandle,FacebookUrl,CreatedAt
1,Mountain Bugle,NV,"Battle Mountain, NV",http://insidenorthernnevada.com/,,https://www.facebook.com/BMBugle,2020-10-19 15:04:38.213
2,Boulder City Review,NV,"Boulder City, NV",http://bouldercityreview.com/,bcreview,https://www.facebook.com/bouldercityreview,2020-10-19 15:04:38.257
3,Lincoln County Record,NV,"Caliente, NV",http://www.lccentral.com/,lccentral,https://www.facebook.com/lccentral,2020-10-19 15:04:38.293
4,Nevada Appeal,NV,"Carson City, NV",http://www.nevadaappeal.com/,nevadaappeal,https://www.facebook.com/NevadaAppeal,2020-10-19 15:04:38.333
5,Leader Courier,NV,"Dayton, NV",http://www.rgj.com/news/leader-courier-news/,rgj,https://www.facebook.com/RGJmedia,2020-10-19 15:04:38.370
6,Elko Daily Free Press,NV,"Elko, NV",http://elkodaily.com/,ElkoDaily,https://www.facebook.com/elkodaily,2020-10-19 15:04:38.410
7,Ely Daily Times,NV,"Ely, NV",http://www.elynews.com/,ElyTimes,https://www.facebook.com/ElyTimes,2020-10-19 15:04:38.450
8,Eureka Sentinel,NV,"Eureka, NV",http://eurekasentinel.com/,,https://www.facebook.com/TheEurekaSentinel,2020-10-19 15:04:38.487
9,Lahontan Valley News,NV,"Fallon, NV",http://www.nevadaappeal.com/news/lahontan-valley/,fallonnews,https://www.facebook.com/LahontanValleyNews,2020-10-19 15:04:38.523
10,Record-Courier,NV,"Gardnerville, NV",http://www.recordcourier.com/,recordcouriernv,https://www.facebook.com/recordcourier,2020-10-19 15:04:38.563
11,Mineral County Independent-News,NV,"Hawthorne, NV",http://mcindependentnews.com/,,https://www.facebook.com/MCIndependentNews,2020-10-19 15:04:38.600
12,Henderson View,NV,"Henderson, NV",http://www.reviewjournal.com/local/henderson,reviewjournal,https://www.facebook.com/reviewjournal,2020-10-19 15:04:38.640
13,Tahoe Daily Tribune,NV,"Incline Village, NV",http://www.tahoedailytribune.com/,TahoeDailyTrib,https://www.facebook.com/TahoeDailyTribune,2020-10-19 15:04:38.677
14,El Mundo Las Vegas,NV,"Las Vegas, NV",http://www.elmundo.net/,,https://www.facebook.com/ElMundoNewspaperLasVegas,2020-10-19 15:04:38.717
15,Guardian Liberty Voice,NV,"Las Vegas, NV",http://guardianlv.com/,,https://www.facebook.com/GuardianLibertyVoice,2020-10-19 15:04:38.773
16,Las Vegas Business Press,NV,"Las Vegas, NV",http://www.reviewjournal.com/business,,https://www.facebook.com/pages/Las-Vegas-Business-Press/146650185400517,2020-10-19 15:04:38.813
17,Las Vegas Informer,NV,"Las Vegas, NV",http://lasvegas.informermg.com/,lvinformer,https://www.facebook.com/lvinformer,2020-10-19 15:04:38.850
18,Las Vegas Review Journal,NV,"Las Vegas, NV",http://www.reviewjournal.com/,reviewjournal,https://www.facebook.com/reviewjournal,2020-10-19 15:04:38.890
19,Las Vegas Sun,NV,"Las Vegas, NV",https://lasvegassun.com/,lasvegassun,https://www.facebook.com/lasvegassun,2020-10-19 15:04:38.930
20,Las Vegas Tribune,NV,"Las Vegas, NV",http://lasvegastribune.net/,,https://www.facebook.com/pages/Las-Vegas-Tribune/405371276213653,2020-10-19 15:04:38.970
21,Las Vegas Weekly,NV,"Las Vegas, NV",https://lasvegasweekly.com/,LasVegasWeekly,https://www.facebook.com/lasvegasweekly,2020-10-19 15:04:39.007
22,Review Journal Local,NV,"Las Vegas, NV",http://www.reviewjournal.com/local,,https://www.facebook.com/viewnewspapers,2020-10-19 15:04:39.043
23,Vegas Inc,NV,"Las Vegas, NV",https://vegasinc.com/news/business/,vegasinc,https://www.facebook.com/vegasinc,2020-10-19 15:04:39.080
24,Laughlin Entertainer,NV,"Laughlin, NV",http://laughlinentertainer.com/,,https://www.facebook.com/Laughlin-Entertainer-161816883869210/,2020-10-19 15:04:39.120
25,Laughlin Nevada Times,NV,"Laughlin, NV",http://www.mohavedailynews.com/laughlin_times/,,,2020-10-19 15:04:39.157
